,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2013-06-30,,,,,,,,10.1,,,0.63,1858.45,0.56,,,0.0,6,2013,,,,,,,,,,,,
2013-09-30,27.95,,,,,,,9.9,1.68,-0.15999999999999998,2.49,1884.81,0.63,1.8599999999999,0.0,0.0,9,2013,,,,,,,,,,,,
2013-12-31,27.950000000000003,,,,,,,9.4,1.8399999999999999,-0.31,16.35,1901.63,0.57,34.67000000000007,-20.820000000000164,0.12,12,2013,,,,,,,,,,,,
2014-03-31,27.94,,,,,,,9.8,2.04,-0.54,11.3,1871.17,0.62,51.37,-56.42,0.32,3,2014,,,,,,,,,,,,
2014-06-30,27.94,,,,,,,9.9,1.63,-0.13,5.5,1861.34,0.67,29.490000000000002,-35.28999999999999,0.52,6,2014,,,,,,,,,,,,
2014-09-30,27.919999999999995,,,,,,,9.9,1.7599999999999998,-0.24,1.15,1887.41,0.58,-4.340000000000003,0.0,0.52,9,2014,,,,,,,,,,,,
2014-12-31,27.909999999999997,,,,,,,9.6,1.9800000000000004,-0.44000000000000006,10.38,1897.56,0.59,24.230000000000004,-15.010000000000005,0.61,12,2014,,,,,,,,,,,,
2015-03-31,27.89,,,,,,,9.5,1.68,-0.18,20.69,1869.69,0.58,64.41,-54.1,0.31,3,2015,,,,,,,,,,,,
2015-06-30,27.909999999999997,,,,,,,9.5,1.6900000000000002,-0.18,4.73,1865.58,0.57,12.200000000000003,-28.160000000000004,0.47,6,2015,,,,,,,,,,,,
2015-09-30,27.930000000000007,,,,,,,9.7,1.7000000000000002,-0.18000000000000005,3.27,1891.83,0.59,-1.4699999999999989,0.0,0.47,9,2015,,,,,,,,,,,,
2015-12-31,27.89,,,,,,,9.8,1.71,-0.16999999999999993,14.47,1887.22,0.62,26.549999999999997,-15.329999999999998,0.55,12,2015,,,,,,,,,,,,
2016-03-31,27.92,,,,,,,9.65,1.87,-0.36,13.36,1872.64,0.74,54.05,-55.16,0.31,3,2016,,,,,,,,,,,,
2016-06-30,27.9,,,,,,,9.5,1.7799999999999998,-0.28,5.47,1862.82,0.57,27.909999999999997,-35.8,0.52,6,2016,,,,,,,,,,,,
2016-09-30,27.889999999999993,,,,,,,9.5,1.6099999999999999,-0.08999999999999997,4.6,1843.16,0.62,-0.8699999999999903,0.0,0.52,9,2016,,,,,,,,,,,,
2016-12-31,27.900000000000006,,,,,,,8.2,1.83,-0.33000000000000007,16.14,1854.34,0.56,26.36,-14.820000000000007,0.58,12,2016,,,,,,,,,,,,
2017-03-31,28.14,,,,,,,7.65,1.76,-0.31,10.93,1756.69,0.65,55.93,-61.14,0.15,3,2017,,,,,,,,,,,,
2017-06-30,8.469999999999999,,,,,,,6.6,1.64,-0.23000000000000004,4.28,1734.81,1.81,23.29,-29.939999999999998,0.15,6,2017,,,,,,,,,,,,
2017-09-30,18.14,,,,,,,7.1,1.4300000000000002,-0.07999999999999996,3.07,1624.36,0.63,-1.2099999999999937,0.0,0.15,9,2017,,,,,,,,,,,,
