,dividend,close_price,dividend_yield
2004-08-19,1,2.8,35.71
2005-03-25,0.2,3.54,5.65
2005-08-25,0.15,5.25,2.86
2006-03-31,0.15,7.5,2
2006-08-21,0.15,9.25,1.62
2007-03-30,0.17,8.8,1.93
2007-08-21,0.05,7.95,0.63
2008-04-01,0.05,7.75,0.65
2009-04-02,0.1,7.3,1.37
2009-11-24,0.05,7.55,0.66
2010-04-01,0.2,7.45,2.68
2010-08-25,0.1,11.9,0.84
2011-03-23,0.3,11.9,2.52
2011-08-24,0.3,12.9,2.33
2012-03-28,0.36,13.6,2.65
2012-08-27,0.25,14,1.79
2013-03-19,0.45,24.7,1.82
2013-08-26,0.3,14.9,2.01
2014-03-18,0.45,14.6,3.08
2014-08-18,0.25,17.5,1.43
2015-03-17,0.4,24.7,1.62
2015-08-24,0.25,17.9,1.4
2016-03-16,0.15,14.4,1.04
2016-08-18,0.1,12.9,0.78
2017-03-14,0.1,11.9,0.84
